Codice Categoria/Nodo;Codice Categoria/Nodo Padre;Nome Categoria/Nodo Italiana;Nome Categoria/Nodo Inglese;Descrizione Categoria/Nodo Italiana;Descrizione Categoria/Nodo Inglese
1951;1950;TERGICRISTALLI;WINDSHIELD WIPERS;;
1952;1951;TERGICRISTALLI PER PICCOLE IMBARCAZIONI;WINDSHIELD WIPERS FOR SMALL BOATS;;
1958;1951;TERGICRISTALLI PER GRANDI IMBARCAZIONI;WINDSHIELD WIPERS FOR LARGE BOATS;;
1965;1951;ACCESSORI PER TERGICRISTALLI;WINDSHIELD WIPERS ACCESSORIES;;
1977;1950;SEGNALAZIONE;SIGNALLING;;
1978;1977;TROMBE ELETTRICHE COMPATTE;COMPACT ELECTRIC HORNS;;
1990;1977;TROMBE ELETTRICHE CON CORNETTO;ELECTRIC TRUMPET HORNS;;
1996;1977;TROMBE A COMPRESSORE;ELECTRIC AIR HORNS;;
2002;1977;TROMBE A COMPRESSORE R.I.Na.;R.I.Na. APPROVED SIGNALLING TRUMPET HORNS;;
2010;1977;AVVISATORI A FISCHIO E SIRENE;SIGNALLING WHISTLE AND SIRENS;;
2014;1977;TROMBE GAS / FISCHI / CORNI / MEGAFONI;GAS HORNS / WHISTLES / TRUMPETS / MEGAPHONES;;
2019;1977;CAMPANE;SHIP BELLS AND GONGS;;
2047;1950;ENERGIA;ENERGY;;
2065;2047;PANNELLI SOLARI;SOLAR PANELS;;
