Codice Prodotto;Descrizione Prodotto Breve Italiana;Codice Categoria;Um;Peso;Disponibilita' maggiore di 0;Obsoleto;Novita';In Offerta;Tipo Offerta;Listino Base;Netto Cliente;Unita' Misura Street Price;Street Price Ivato;Nome Immagine;Link Caratteristiche;Ultimo Aggiornamento
5801204;MB NORTHWIND SET 6PZ CIOTOLA< ;16875;CF;1,00;Si;No;No;No;Nessuna;51,10;25,55;;51,10;5801204;http://www.motomarine.it/catalogo/xsia/5801204;2021-02-12
5801205;MB NORTHWIND SET 6PZ PIATTO SQUARE FLAT< ;16876;CF;1,60;Si;No;No;No;Nessuna;56,20;28,10;;56,20;5801205;http://www.motomarine.it/catalogo/xsia/5801205;2021-02-12
5801207;MB NORTHWIND SET 6PZ PIATTO SQUARE DESS< ;16878;CF;1,00;Si;No;No;No;Nessuna;53,20;26,60;;53,20;5801207;http://www.motomarine.it/catalogo/xsia/5801207;2021-02-12
5801208;MB NORTHWIND SET 6PZ TAZZA MUG< ;16879;CF;0,86;Si;No;No;No;Nessuna;49,10;24,55;;49,10;5801208;http://www.motomarine.it/catalogo/xsia/5801208;2021-02-12
5801209;MB NORTHWIND SET 6PZ TAZZA TE+PIATTINO< ;16880;CF;1,40;Si;No;No;No;Nessuna;49,10;24,55;;49,10;5801209;http://www.motomarine.it/catalogo/xsia/5801209;2021-02-12
5801210;MB NORTHWIND SET 6PZ TAZZA CAFFE+PIATT< ;16881;CF;0,75;Si;No;No;No;Nessuna;46,70;23,35;;46,70;5801210;http://www.motomarine.it/catalogo/xsia/5801210;2021-02-12
5801211;MB NORTHWIND SET 6PZ CIOTOLA< ;16882;CF;0,74;Si;No;No;No;Nessuna;42,50;21,25;;42,50;5801211;http://www.motomarine.it/catalogo/xsia/5801211;2021-02-12
5801212;MB NORTHWIND INSALATIERA+POSATE< ;16883;CF;0,70;Si;No;No;No;Nessuna;40,60;20,30;;39,80;5801212;http://www.motomarine.it/catalogo/xsia/5801212;2021-02-12
5801213;MB NORTHWIND SET 2PZ PIATTO PORTATA< ;16884;CF;0,74;Si;No;No;No;Nessuna;36,90;18,45;;36,90;5801213;http://www.motomarine.it/catalogo/xsia/5801213;2021-02-12
5801214;MB NORTHWIND VASSOIO< ;16885;PZ;1,13;Si;No;No;No;Nessuna;50,00;25,00;;49,50;5801214;http://www.motomarine.it/catalogo/xsia/5801214;2021-02-12
5801215;MB NORTHWIND CIOTOLE 3PZ< ;16886;CF;0,43;Si;No;No;No;Nessuna;31,00;15,50;;31,00;5801215;http://www.motomarine.it/catalogo/xsia/5801215;2021-02-12
5801217;MB NORTHWIND SET 6X4PZ POSATE< ;16888;CF;1,25;Si;No;No;No;Nessuna;95,40;47,70;;95,40;5801217;http://www.motomarine.it/catalogo/xsia/5801217;2021-02-12
5801218;MB NORTHWIND SET 6PZ BICCHIERE VINO< ;16892;CF;0,46;Si;No;No;No;Nessuna;39,70;19,85;;39,70;5801218;http://www.motomarine.it/catalogo/xsia/5801218;2021-02-12
5801219;MB NORTHWIND SET 6PZ BICCHIERE CHAMPAGN< ;16893;CF;0,45;Si;No;No;No;Nessuna;30,60;15,30;;29,70;5801219;http://www.motomarine.it/catalogo/xsia/5801219;2021-02-12
5801220;MB NORTHWIND SET 6PZ BICCHIERE ACQUA< ;16890;CF;1,00;Si;No;No;No;Nessuna;49,70;24,85;;49,70;5801220;http://www.motomarine.it/catalogo/xsia/5801220;2021-02-12
5801221;MB NORTHWIND SET 6PZ BICCHIERE BEVERAGE< ;16891;CF;1,15;No;No;No;No;Nessuna;51,00;25,50;;51,00;5801221;http://www.motomarine.it/catalogo/xsia/5801221;2021-02-12
5801222;MB NORTHWIND SET 12PZ BICCHIERE STACK< ;16889;CF;0,86;Si;No;No;No;Nessuna;63,90;31,95;;63,90;5801222;http://www.motomarine.it/catalogo/xsia/5801222;2021-02-12
